比赛名称		轮	日期	红方			黑方		步数	开局	棋源	录入	览	招法
1	2014年第6届句容茅山半岛杯象棋冠军赛男子组预赛	3	20140518	江苏	徐天红	先负	许银川	广东	72	中炮巡河炮对屏风马	中国象棋协会	打虎将	4613	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 兵七进一
 卒７进１
9. 马八进七
 炮２进４
11. 兵五进一
 炮８进４
13. 车九进一
 炮２平３
15. 相七进九
 车１平２
17. 车九平六
 车２进６
19. 车六进六
 象７进５
21. 车六平七
 士６进５
23. 仕四进五
 炮８退１
25. 兵三进一
 炮８平５
27. 车二进九
 马７退８
29. 马三进五
 卒７进１
31. 炮五进二
 车２进１
33. 炮五平六
 卒７平６
35. 炮六进四
 车２退６
37. 炮六平七
 卒６平５
39. 炮七退二
 前卒进１
41. 炮七退三
 前卒平４
43. 兵七进一
 卒４平３
45. 马七进五
 卒３平４
47. 马五进四
 车２进４
49. 车七退一
 车２平６
51. 马四进六
 马８进７
53. 车七平九
 将５平６
55. 车九退二
 马７进８
57. 车九平五
 车６退２
59. 兵七进一
 马８进６
61. 马六退七
 马６进８
63. 车五平三
 车６进５
65. 车三退一
 马８进７
67. 仕五进四
 车６平４
69. 帅五平四
 车４进１
71. 帅四进一
 车４退１"
2	2014年第6届句容茅山半岛杯象棋冠军赛女子组预赛	2	20140517	江苏	伍霞	先负	王琳娜	黑龙江	80	...	中国象棋协会	...	1204	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 兵七进一
 卒７进１
7. 马八进七
 马２进３
9. 炮八进二
 马７进８
11. 马七进六
 象３进５
13. 车九进一
 车８进１
15. 车一进一
 车１进１
17. 车一平四
 马８进７
19. 炮五平七
 炮８平７
21. 车四进六
 马７退８
23. 相三进五
 卒７进１
25. 车九平二
 卒７进１
27. 马三退五
 炮７平９
29. 炮七进四
 马３退５
31. 车四退五
 马５进７
33. 马五进七
 炮９平８
35. 车二平四
 马８进９
37. 前车平一
 马９进７
39. 车一平二
 炮８进４
41. 仕四进五
 炮８平９
43. 车四平二
 车８进６
45. 车二进一
 车１平６
47. 车二平一
 炮９平８
49. 车一平二
 前马退５
51. 炮七进一
 马５退４
53. 炮七平三
 炮２平７
55. 车二平四
 车６进６
57. 仕五进四
 炮７进２
59. 炮八退三
 炮７平５
61. 仕六进五
 炮５进１
63. 炮八平九
 炮８退３
65. 兵九进一
 卒９进１
67. 帅五平六
 卒９进１
69. 炮九平六
 马４进６
71. 炮六平九
 士４进５
73. 马七进八
 卒５进１
75. 马八进九
 炮８平４
77. 帅六平五
 卒７进１
79. 炮九进一
 马６进８"
3	2014年江苏仪征市芍药棋缘佳和杯象棋公开赛	4	20140510	南京	王清楼	先负	潘金平	常州	48	...	钱宇新	...	506	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 兵七进一
 卒７进１
9. 马八进七
 炮２进４
11. 兵三进一
 卒７进１
13. 车二进六
 卒７进１
15. 马七进六
 卒７进１
17. 炮八平三
 炮２退１
19. 马六进七
 车１平２
21. 车二平三
 炮８进７
23. 车九平八
 炮２进３
25. 炮三进五
 车８进５
27. 兵五进一
 士４进５
29. 兵五进一
 炮２退２
31. 炮五进一
 车８平５
33. 炮五退一
 车５平６
35. 炮五进四
 马３进５
37. 车三平五
 车６平５
39. 仕六进五
 炮２平５
41. 帅五平六
 车２进９
43. 炮三平七
 车２平３
45. 帅六进一
 炮８退１
47. 仕五进四
 炮５进２"
4	2014年江苏仪征市芍药棋缘佳和杯象棋公开赛	6	20140511	徐州	鲁天	先负	刘宗泽	湖北	64	...	钱宇新	...	185	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 兵七进一
 卒７进１
9. 马八进七
 象７进５
11. 炮八进二
 车１进１
13. 兵三进一
 炮２进２
15. 兵三进一
 马７进８
17. 马三进二
 象５进７
19. 车九进一
 象７退５
21. 车九平四
 车８进１
23. 炮五平二
 卒３进１
25. 兵七进一
 炮８进３
27. 炮二进三
 车８进３
29. 车四进三
 炮８平２
31. 车二进五
 后炮平８
33. 兵七进一
 马３退５
35. 马七进八
 马５进７
37. 车四进二
 车１平２
39. 马八进九
 车２进３
41. 相七进五
 士４进５
43. 马九进七
 炮８进２
45. 兵九进一
 马７进８
47. 车四退三
 炮８进２
49. 车四退二
 马８进９
51. 兵七平六
 车２平５
53. 车四进二
 马９退７
55. 车四进一
 马７退９
57. 车四平二
 炮８平１
59. 仕六进五
 车５进２
61. 兵六平五
 车５平２
63. 帅五平六
 车２平４"
5	2014年江苏仪征市芍药棋缘佳和杯象棋公开赛	6	20140511	徐州	盖梦洋	先负	季洁	徐州	55	...	钱宇新	...	77	"1. 炮二平五 *
 马８进７
3. 马二进三
 卒７进１
5. 兵七进一
 马２进３
7. 马八进七
 车９平８
9. 车一进一
 象３进５
11. 车一平四
 炮８进２
13. 马七进六
 卒３进１
15. 炮八平七
 卒３进１
17. 炮七进五
 卒３平４
19. 车九平八
 炮２平１
21. 炮七平三
 炮１平７
23. 炮五进四
 士４进５
25. 车四进五
 车１平４
27. 仕四进五
 卒７进１
29. 帅五平四
 卒７平６
31. 车四退二
 象７进９
33. 车四进三
 炮７进５
35. 车四平五
 炮８进５
37. 相三进五
 炮７进２
39. 帅四进一
 车８进８
41. 帅四进一
 车８退５
43. 相五退三
 象９退７
45. 车五平二
 车８平５
47. 车二退七
 车５平６
49. 帅四平五
 卒４进１
51. 车八进三
 车６进３
53. 仕五退四
 车６平５
55. 帅五平四"
6	2014年江苏仪征市芍药棋缘佳和杯象棋公开赛	2	20140510	南京	王清楼	先负	夏天舒	浙江	90	...	钱宇新	-	61	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 兵七进一
 卒７进１
9. 马八进七
 炮２进４
11. 兵三进一
 卒７进１
13. 车二进六
 炮８平９
15. 车二平三
 车８进２
17. 车三退二
 象３进５
19. 马七进八
 马７进６
21. 车九进一
 士４进５
23. 车九平四
 车８进２
25. 车三平四
 马６退７
27. 兵五进一
 炮２平７
29. 相三进一
 车１平４
31. 后车进二
 车８平７
33. 仕四进五
 卒３进１
35. 兵七进一
 车７平３
37. 兵五进一
 车３平５
39. 炮八平六
 马７进８
41. 前车平三
 车５平２
43. 车四进五
 车４进２
45. 马三进五
 炮９平６
47. 马五进六
 马３进４
49. 炮六进五
 炮７平６
51. 车四平二
 马８退６
53. 车三进一
 车２进１
55. 车三平六
 士５进４
57. 车二退二
 车２平６
59. 车六进一
 前炮平５
61. 车二退六
 卒５进１
63. 车六平九
 士６进５
65. 车九进三
 士５退４
67. 车九退五
 卒５进１
69. 车九平七
 前士退５
71. 兵九进一
 卒９进１
73. 车二平三
 将５平６
75. 兵九进一
 马６进４
77. 兵九平八
 卒５平４
79. 车七退一
 车６进１
81. 兵八平七
 马４进６
83. 车七平五
 车６平５
85. 车三进四
 马６进５
87. 相七进五
 车５进１
89. 车三平六
 车５平９"
7	2014年四川成都“惠丰杯”街子古镇象棋公开赛	11	20140507	贵州	王清	先负	宿少峰	内蒙	50	...	象棋王子	打虎将	1429	"1. 炮二平五 *
 马８进７
3. 马二进三
 卒７进１
5. 兵七进一
 马２进３
7. 车一平二
 车９平８
9. 炮八进二
 炮２退１
11. 马八进七
 炮８进２
13. 车二进一
 象３进５
15. 车九进一
 卒３进１
17. 车二进三
 炮２平３
19. 车九平六
 卒３进１
21. 车六进七
 炮３退１
23. 车六平七
 卒７进１
25. 炮八平三
 炮８平３
27. 车二进五
 前炮退３
29. 车二退三
 卒３进１
31. 马七退五
 马７进６
33. 炮五进四
 前炮平５
35. 车二平四
 马３进５
37. 车四退一
 马５进４
39. 车四平六
 马４进２
41. 炮三平五
 马２进３
43. 车六退四
 车１进２
45. 炮五进四
 士４进５
47. 马五进四
 卒３进１
49. 马四进五
 炮３平２"
8	2014年江苏扬州·江都“双汇国际杯”象棋公开赛	1	20140501	高邮	范晶晶	先负	钟涛	蚌埠	120	...	钱宇新	...	104	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 兵七进一
 卒７进１
9. 马八进七
 炮２进４
11. 兵五进一
 炮８进４
13. 马七进八
 象３进５
15. 炮五平七
 炮２平３
17. 相七进五
 士４进５
19. 仕六进五
 车１平４
21. 车九平六
 车４进９
23. 帅五平六
 马７进６
25. 兵九进一
 马６退４
27. 车二进一
 马４进５
29. 炮八进一
 车８平９
31. 车二平四
 车９进２
33. 车四进三
 卒５进１
35. 帅六平五
 车９平６
37. 车四进三
 士５进６
39. 炮七退二
 炮８退５
41. 马三进五
 炮８平９
43. 兵三进一
 炮９进５
45. 兵三进一
 马５退７
47. 马五进六
 炮９平２
49. 马六退七
 卒５进１
51. 马八进七
 马３进５
53. 炮七平九
 卒５进１
55. 炮九进六
 卒５平４
57. 后马退六
 马５进６
59. 马七退五
 前士退５
61. 炮九平六
 马７进８
63. 兵七进一
 马８进７
65. 帅五平六
 炮２退６
67. 马六进八
 炮２平４
69. 马八进七
 卒４平３
71. 仕五进六
 炮４进７
73. 兵七平六
 炮４退４
75. 兵六进一
 卒９进１
77. 兵六平七
 卒９进１
79. 兵七进一
 象５进３
81. 兵七进一
 卒９平８
83. 兵七平六
 马６退５
85. 兵六平七
 卒８进１
87. 马七退五
 士５进６
89. 后马进三
 后士进５
91. 马三进二
 卒３进１
93. 仕四进五
 卒３进１
95. 兵九进一
 卒８平７
97. 马五退六
 将５平４
99. 仕五进六
 马５进４
101. 马六进八
 马４进２
103. 马二进三
 马２退４
105. 仕六退五
 士５进４
107. 兵九进一
 马７退６
109. 帅六平五
 卒３平４
111. 仕五进四
 卒７进１
113. 马八退六
 马６退５
115. 马六退八
 马４进３
117. 马八退七
 卒７平６
119. 马七进六
 卒６进１"
9	2014年朱宝位杯全国象棋团体赛男子组	8	20140425	广东碧桂园队	许国义	先负	孙勇征	上海金外滩队	148	...	象棋王子	...	2962	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 兵七进一
 卒７进１
7. 马八进七
 马２进３
9. 炮八进二
 炮２平１
11. 兵三进一
 卒７进１
13. 炮八平三
 车１平２
15. 车一平二
 车２进４
17. 车二进六
 车２平７
19. 炮三进三
 炮１平７
21. 马三退五
 车８进１
23. 相三进一
 车７进４
25. 马七进六
 车７平６
27. 马五进七
 炮７进６
29. 仕六进五
 炮７平８
31. 炮五平三
 车８平７
33. 炮三进二
 后炮平９
35. 相七进五
 卒９进１
37. 车二退二
 卒９进１
39. 炮三平一
 车７进５
41. 炮一进一
 车７平９
43. 炮一平二
 炮８退４
45. 车二进一
 炮９进５
47. 车二退三
 马３退５
49. 车九平八
 马５进７
51. 车八进五
 炮９进２
53. 车二退二
 象３进５
55. 帅五平六
 士６进５
57. 帅六进一
 炮９退１
59. 帅六退一
 炮９进１
61. 帅六进一
 炮９退１
63. 帅六退一
 炮９进１
65. 帅六进一
 车９进２
67. 车二平三
 马７进９
69. 车八平四
 车６退４
71. 马六进四
 马９进７
73. 马四退六
 车９退５
75. 马六进七
 卒５进１
77. 前马退六
 炮９退１
79. 帅六退一
 炮９进１
81. 帅六进一
 炮９退１
83. 帅六退一
 炮９进１
85. 帅六进一
 炮９退４
87. 车三进四
 车９平４
89. 仕五进六
 炮９退４
91. 兵七进一
 炮９平７
93. 车三平四
 士５进６
95. 帅六平五
 炮７平６
97. 车四平三
 炮６平７
99. 车三平四
 炮７平６
101. 车四平三
 车４平６
103. 帅五平六
 炮６平７
105. 车三平二
 炮７平４
107. 车二平三
 炮４平７
109. 车三平二
 炮７平４
111. 车二平三
 炮４平７
113. 车三平二
 炮７平４
115. 车二平三
 车６进５
117. 仕四进五
 车６退２
119. 兵七平六
 车６平５
121. 兵六平五
 车５平３
123. 兵五平四
 车３进１
125. 兵四平三
 车３进１
127. 帅六退一
 车３平５
129. 车三退二
 象５进７
131. 车三平四
 士４进５
133. 车四平三
 后象进５
135. 车三平二
 车５平１
137. 车二进七
 士５退６
139. 车二退三
 车１进１
141. 帅六进一
 车１退１
143. 帅六退一
 车１进１
145. 帅六进一
 车１退１
147. 帅六退一
 车１退１"
10	2014年河南省邓州市象棋公开赛	3	20140314	个人	刘龙	先负	刘宗泽	个人	118	...	棋王小轿车	...	2962	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 兵七进一
 卒７进１
7. 马八进七
 马２进３
9. 炮八进二
 马７进８
11. 马七进六
 象３进５
13. 车九进一
 车８进１
15. 车一进一
 士４进５
17. 炮五平七
 炮２退１
19. 相三进五
 马８进７
21. 车一平二
 炮８平６
23. 炮七进一
 车８进７
25. 车九平二
 炮６平７
27. 炮七平三
 炮７进４
29. 兵九进一
 炮２平４
31. 炮八退二
 车１平２
33. 炮八平七
 车２进４
35. 马六进七
 车２进３
37. 车二平七
 士５进４
39. 仕四进五
 卒９进１
41. 马三退二
 士６进５
43. 马二进一
 炮７平６
45. 马一退三
 炮６平７
47. 兵七进一
 象５进３
49. 炮七进二
 车２退１
51. 马三进二
 象７进５
53. 马二进一
 车２平５
55. 车七平八
 车５退１
57. 车八进二
 炮７平４
59. 炮七退二
 前炮进２
61. 车八进四
 车５进２
63. 炮七平九
 车５平８
65. 车八平七
 车８进２
67. 仕五退四
 前炮平９
69. 马一进三
 炮９平７
71. 马三退一
 炮７进１
73. 仕四进五
 炮７平４
75. 仕五退四
 前炮平６
77. 帅五进一
 车８退１
79. 帅五退一
 炮６平３
81. 车七进一
 车８退４
83. 兵一进一
 炮４退１
85. 炮九进四
 将５平６
87. 兵九进一
 卒７进１
89. 兵九平八
 炮３退６
91. 炮九进三
 将６进１
93. 炮九退八
 炮３平４
95. 车七退三
 前炮进１
97. 车七退一
 前炮平９
99. 兵一进一
 车８平５
101. 炮九平五
 车５平９
103. 炮五平四
 车９平５
105. 帅五平四
 车５平２
107. 车七平四
 士５进６
109. 车四平三
 将６平５
111. 车三进四
 将５退１
113. 炮四平五
 车２平６
115. 帅四平五
 将５平６
117. 炮五进六
 卒５进１"
